Epoch,EfficientNet,GoogleNet,MobileNet,ResNet18,ShuffleNet
0,89.09,88.18,87.73,86.82,88.18
1,63.18,43.18,62.27,32.73,46.82
2,30.45,17.27,22.27,10.45,24.09
3,27.27,34.55,21.36,11.82,24.55
4,17.27,14.09,30.91,12.73,21.82
5,15.00,10.45,35.91,10.45,14.09
6,15.45,10.45,28.64,14.55,18.18
7,16.82,9.09,22.73,10.91,27.27
8,16.82,6.82,22.73,8.64,11.36
9,16.36,6.82,22.27,15.00,12.73
10,11.36,10.45,24.55,5.00,10.45
11,14.55,10.00,22.27,5.00,11.36
12,19.09,5.91,22.27,5.00,10.45
13,17.73,10.91,21.82,5.45,8.64
14,15.00,20.45,19.09,4.09,5.91
15,17.73,13.18,20.91,5.00,17.27
16,17.27,11.82,28.64,5.00,12.73
17,14.09,21.82,34.09,55.45,11.36
18,13.18,8.64,9.09,11.82,16.36
19,13.64,8.64,6.82,2.73,15.45
20,13.64,10.00,4.55,6.82,16.36
21,14.55,9.55,7.27,4.55,14.09
22,14.55,10.91,6.36,3.18,12.73
23,14.55,11.82,8.18,5.00,12.73
24,14.55,10.45,4.09,4.09,13.64
